image_name,dilution,number_of_lines
bsb00104168.0011.jpeg,90,0
bsb00104168.0011.jpeg,95,0
bsb00104168.0011.jpeg,100,0
bsb00104168.0011.jpeg,105,0
bsb00104168.0011.jpeg,110,0
bsb00104168.0011.jpeg,115,0
bsb00104168.0011.jpeg,120,0
bsb00065763.0011.jpeg,40,10
bsb00065763.0011.jpeg,45,12
bsb00065763.0011.jpeg,50,9
bsb00065763.0011.jpeg,55,9
bsb00065763.0011.jpeg,60,8
bsb00065763.0011.jpeg,65,7
bsb00065763.0011.jpeg,70,8
bsb00065763.0011.jpeg,75,7
bsb00065763.0011.jpeg,80,7
bsb00065763.0011.jpeg,85,6
bsb00065763.0011.jpeg,90,5
bsb00065763.0011.jpeg,95,5
bsb00065763.0011.jpeg,100,5
bsb00065763.0011.jpeg,105,5
bsb00065763.0011.jpeg,110,4
bsb00065763.0011.jpeg,115,4
bsb00065763.0011.jpeg,120,2
bsb00046285.0011.jpeg,40,0
bsb00046285.0011.jpeg,45,0
bsb00046285.0011.jpeg,50,0
bsb00046285.0011.jpeg,55,0
bsb00046285.0011.jpeg,60,0
bsb00046285.0011.jpeg,65,0
bsb00046285.0011.jpeg,70,0
bsb00046285.0011.jpeg,75,0
bsb00046285.0011.jpeg,80,0
bsb00046285.0011.jpeg,85,0
bsb00046285.0011.jpeg,90,0
bsb00046285.0011.jpeg,95,0
bsb00046285.0011.jpeg,100,0
bsb00046285.0011.jpeg,105,0
bsb00046285.0011.jpeg,110,0
bsb00046285.0011.jpeg,115,0
bsb00046285.0011.jpeg,120,0
bsb00065409.0035.jpeg,40,14
bsb00065409.0035.jpeg,45,16
bsb00065409.0035.jpeg,50,17
bsb00065409.0035.jpeg,55,17
bsb00065409.0035.jpeg,60,17
bsb00065409.0035.jpeg,65,15
bsb00065409.0035.jpeg,70,13
bsb00065409.0035.jpeg,75,13
bsb00065409.0035.jpeg,80,12
bsb00065409.0035.jpeg,85,12
bsb00065409.0035.jpeg,90,12
bsb00065409.0035.jpeg,95,12
bsb00065409.0035.jpeg,100,12
bsb00065409.0035.jpeg,105,11
bsb00065409.0035.jpeg,110,11
bsb00065409.0035.jpeg,115,11
bsb00065409.0035.jpeg,120,12
bsb00065410.0012.jpeg,40,0
bsb00065410.0012.jpeg,45,0
bsb00065410.0012.jpeg,50,0
bsb00065410.0012.jpeg,55,0
bsb00065410.0012.jpeg,60,0
bsb00065410.0012.jpeg,65,0
bsb00065410.0012.jpeg,70,0
bsb00065410.0012.jpeg,75,0
bsb00065410.0012.jpeg,80,0
bsb00065410.0012.jpeg,85,0
bsb00065410.0012.jpeg,90,0
bsb00065410.0012.jpeg,95,0
bsb00065410.0012.jpeg,100,0
bsb00065410.0012.jpeg,105,0
bsb00065410.0012.jpeg,110,0
bsb00065410.0012.jpeg,115,0
bsb00065410.0012.jpeg,120,0
bsb00065407.0011.jpeg,40,18
bsb00065407.0011.jpeg,45,21
bsb00065407.0011.jpeg,50,23
bsb00065407.0011.jpeg,55,23
bsb00065407.0011.jpeg,60,24
bsb00065407.0011.jpeg,65,24
bsb00065407.0011.jpeg,70,25
bsb00065407.0011.jpeg,75,25
bsb00065407.0011.jpeg,80,25
bsb00065407.0011.jpeg,85,25
bsb00065407.0011.jpeg,90,25
bsb00065407.0011.jpeg,95,25
bsb00065407.0011.jpeg,100,25
bsb00065407.0011.jpeg,105,25
bsb00065407.0011.jpeg,110,25
bsb00065407.0011.jpeg,115,25
bsb00065407.0011.jpeg,120,25
bsb00065411.0026.jpeg,40,0
bsb00065411.0026.jpeg,45,0
bsb00065411.0026.jpeg,50,0
bsb00065411.0026.jpeg,55,0
bsb00065411.0026.jpeg,60,0
bsb00065411.0026.jpeg,65,0
bsb00065411.0026.jpeg,70,0
bsb00065411.0026.jpeg,75,0
bsb00065411.0026.jpeg,80,0
bsb00065411.0026.jpeg,85,0
bsb00065411.0026.jpeg,90,0
bsb00065411.0026.jpeg,95,0
bsb00065411.0026.jpeg,100,0
bsb00065411.0026.jpeg,105,0
bsb00065411.0026.jpeg,110,0
bsb00065411.0026.jpeg,115,0
bsb00065411.0026.jpeg,120,0
bsb00046557.0011.jpeg,40,29
bsb00046557.0011.jpeg,45,29
bsb00046557.0011.jpeg,50,29
bsb00046557.0011.jpeg,55,29
bsb00046557.0011.jpeg,60,29
bsb00046557.0011.jpeg,65,29
bsb00046557.0011.jpeg,70,29
bsb00046557.0011.jpeg,75,29
bsb00046557.0011.jpeg,80,29
bsb00046557.0011.jpeg,85,29
bsb00046557.0011.jpeg,90,29
bsb00046557.0011.jpeg,95,29
bsb00046557.0011.jpeg,100,29
bsb00046557.0011.jpeg,105,29
bsb00046557.0011.jpeg,110,29
bsb00046557.0011.jpeg,115,29
bsb00046557.0011.jpeg,120,29
bsb00073147.0011.jpeg,40,0
bsb00073147.0011.jpeg,45,0
bsb00073147.0011.jpeg,50,0
bsb00073147.0011.jpeg,55,0
bsb00073147.0011.jpeg,60,0
bsb00073147.0011.jpeg,65,0
bsb00073147.0011.jpeg,70,0
bsb00073147.0011.jpeg,75,0
bsb00073147.0011.jpeg,80,0
bsb00073147.0011.jpeg,85,0
bsb00073147.0011.jpeg,90,0
bsb00073147.0011.jpeg,95,0
bsb00073147.0011.jpeg,100,0
bsb00073147.0011.jpeg,105,0
bsb00073147.0011.jpeg,110,0
bsb00073147.0011.jpeg,115,0
bsb00073147.0011.jpeg,120,0
